simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
midres,subhalos,0.29,1.21348E+11,7.14E-06,8.54E-08
midres,subhalos,0.29,1.36287E+11,7.88E-06,8.97E-08
midres,subhalos,0.29,1.53064E+11,9.25E-06,9.72E-08
midres,subhalos,0.29,1.71907E+11,1.08E-05,1.05E-07
midres,subhalos,0.29,1.9307E+11,1.26E-05,1.13E-07
midres,subhalos,0.29,2.16838E+11,1.44E-05,1.21E-07
midres,subhalos,0.29,2.43531E+11,1.68E-05,1.31E-07
midres,subhalos,0.29,2.73511E+11,0.000994762,1.01E-06
midres,subhalos,0.29,3.07181E+11,0.001034769,1.03E-06
midres,subhalos,0.29,3.44997E+11,0.001309081,1.16E-06
midres,subhalos,0.29,3.87468E+11,0.00170502,1.32E-06
midres,subhalos,0.29,4.35167E+11,0.002676891,1.65E-06
midres,subhalos,0.29,4.88737E+11,0.008917169,3.02E-06
midres,subhalos,0.29,5.48903E+11,0.011592506,3.44E-06
midres,subhalos,0.29,6.16476E+11,0.010173979,3.22E-06
midres,subhalos,0.29,6.92367E+11,0.009514052,3.12E-06
midres,subhalos,0.29,7.776E+11,0.008432665,2.93E-06
midres,subhalos,0.29,8.73326E+11,0.00780729,2.82E-06
midres,subhalos,0.29,9.80837E+11,0.007082358,2.69E-06
midres,subhalos,0.29,1.10158E+12,0.006233462,2.52E-06
midres,subhalos,0.29,1.23719E+12,0.005574755,2.39E-06
midres,subhalos,0.29,1.3895E+12,0.005090565,2.28E-06
midres,subhalos,0.29,1.56055E+12,0.004527145,2.15E-06
midres,subhalos,0.29,1.75266E+12,0.004101031,2.05E-06
midres,subhalos,0.29,1.96842E+12,0.003713016,1.95E-06
midres,subhalos,0.29,2.21074E+12,0.003414116,1.87E-06
midres,subhalos,0.29,2.48289E+12,0.003126357,1.79E-06
midres,subhalos,0.29,2.78855E+12,0.00283095,1.70E-06
midres,subhalos,0.29,3.13183E+12,0.002569269,1.62E-06
midres,subhalos,0.29,3.51737E+12,0.002318187,1.54E-06
midres,subhalos,0.29,3.95038E+12,0.002085485,1.46E-06
midres,subhalos,0.29,4.43669E+12,0.001865151,1.38E-06
midres,subhalos,0.29,4.98286E+12,0.001664806,1.30E-06
midres,subhalos,0.29,5.59628E+12,0.001483739,1.23E-06
midres,subhalos,0.29,6.2852E+12,0.001314858,1.16E-06
midres,subhalos,0.29,7.05894E+12,0.001166572,1.09E-06
midres,subhalos,0.29,7.92793E+12,0.001033931,1.03E-06
midres,subhalos,0.29,8.90389E+12,0.000914779,9.67E-07
midres,subhalos,0.29,1E+13,0.000812991,9.11E-07
midres,subhalos,0.29,1.1231E+13,0.000717568,8.56E-07
midres,subhalos,0.29,1.26136E+13,0.000633013,8.04E-07
midres,subhalos,0.29,1.41664E+13,0.000557676,7.55E-07
midres,subhalos,0.29,1.59104E+13,0.00048571,7.04E-07
midres,subhalos,0.29,1.7869E+13,0.000422767,6.57E-07
midres,subhalos,0.29,2.00688E+13,0.000365483,6.11E-07
midres,subhalos,0.29,2.25393E+13,0.000315717,5.68E-07
midres,subhalos,0.29,2.5314E+13,0.000272426,5.27E-07
midres,subhalos,0.29,2.84303E+13,0.000233497,4.88E-07
midres,subhalos,0.29,3.19302E+13,0.000201149,4.53E-07
midres,subhalos,0.29,3.5861E+13,0.000171569,4.19E-07
midres,subhalos,0.29,4.02756E+13,0.000147395,3.88E-07
midres,subhalos,0.29,4.52337E+13,0.000125435,3.58E-07
midres,subhalos,0.29,5.08022E+13,0.00010716,3.31E-07
midres,subhalos,0.29,5.70562E+13,9.14E-05,3.05E-07
midres,subhalos,0.29,6.408E+13,7.70E-05,2.80E-07
midres,subhalos,0.29,7.19686E+13,6.50E-05,2.58E-07
midres,subhalos,0.29,8.08282E+13,5.41E-05,2.35E-07
midres,subhalos,0.29,9.07785E+13,4.56E-05,2.16E-07
midres,subhalos,0.29,1.01954E+14,3.80E-05,1.97E-07
midres,subhalos,0.29,1.14505E+14,3.17E-05,1.80E-07
midres,subhalos,0.29,1.28601E+14,2.60E-05,1.63E-07
midres,subhalos,0.29,1.44432E+14,2.10E-05,1.46E-07
midres,subhalos,0.29,1.62212E+14,1.71E-05,1.32E-07
midres,subhalos,0.29,1.82181E+14,1.39E-05,1.19E-07
midres,subhalos,0.29,2.04609E+14,1.09E-05,1.06E-07
midres,subhalos,0.29,2.29797E+14,8.77E-06,9.46E-08
midres,subhalos,0.29,2.58086E+14,6.75E-06,8.30E-08
midres,subhalos,0.29,2.89858E+14,5.34E-06,7.39E-08
midres,subhalos,0.29,3.25541E+14,3.95E-06,6.35E-08
midres,subhalos,0.29,3.65616E+14,3.08E-06,5.60E-08
midres,subhalos,0.29,4.10625E+14,2.14E-06,4.67E-08
midres,subhalos,0.29,4.61175E+14,1.62E-06,4.07E-08
midres,subhalos,0.29,5.17947E+14,1.15E-06,3.43E-08
midres,subhalos,0.29,5.81709E+14,7.68E-07,2.80E-08
midres,subhalos,0.29,6.5332E+14,5.16E-07,2.29E-08
midres,subhalos,0.29,7.33747E+14,3.73E-07,1.95E-08
midres,subhalos,0.29,8.24074E+14,2.63E-07,1.64E-08
midres,subhalos,0.29,9.25522E+14,1.71E-07,1.32E-08
midres,subhalos,0.29,1.03946E+15,9.70E-08,9.95E-09
midres,subhalos,0.29,1.16742E+15,5.11E-08,7.22E-09
midres,subhalos,0.29,1.31113E+15,2.35E-08,4.90E-09
midres,subhalos,0.29,1.47254E+15,2.45E-08,5.00E-09
midres,subhalos,0.29,1.65382E+15,7.15E-09,2.70E-09
midres,subhalos,0.29,1.85741E+15,5.11E-09,2.28E-09
midres,subhalos,0.29,2.08606E+15,2.04E-09,1.44E-09
midres,subhalos,0.29,2.34287E+15,1.02E-09,1.02E-09
midres,subhalos,0.29,2.63129E+15,0,0
midres,subhalos,0.29,2.95521E+15,0,0
midres,subhalos,0.29,3.31901E+15,0,0
midres,subhalos,0.29,3.72759E+15,0,0
midres,subhalos,0.29,4.18648E+15,0,0
midres,subhalos,0.29,4.70185E+15,0,0
midres,subhalos,0.29,5.28067E+15,0,0
midres,subhalos,0.29,5.93074E+15,0,0
midres,subhalos,0.29,6.66085E+15,0,0
midres,subhalos,0.29,7.48083E+15,0,0
midres,subhalos,0.29,8.40175E+15,0,0
midres,subhalos,0.29,9.43604E+15,0,0
midres,subhalos,0.47,10597662487,1.73E-07,1.33E-08
midres,subhalos,0.47,11902282448,1.98E-07,1.42E-08
midres,subhalos,0.47,13367506999,2.18E-07,1.49E-08
midres,subhalos,0.47,15013107289,2.13E-07,1.48E-08
midres,subhalos,0.47,16861288383,2.72E-07,1.67E-08
midres,subhalos,0.47,18936988890,2.99E-07,1.75E-08
midres,subhalos,0.47,21268217473,4.05E-07,2.03E-08
midres,subhalos,0.47,23886430790,9.94E-07,3.19E-08
midres,subhalos,0.47,26826957953,9.76E-07,3.16E-08
midres,subhalos,0.47,30129477247,1.02E-06,3.23E-08
midres,subhalos,0.47,33838551534,1.27E-06,3.60E-08
midres,subhalos,0.47,38004229564,2.04E-06,4.57E-08
midres,subhalos,0.47,42682721312,1.83E-06,4.32E-08
midres,subhalos,0.47,47937156456,2.41E-06,4.96E-08
midres,subhalos,0.47,53838436220,2.65E-06,5.20E-08
midres,subhalos,0.47,60466190091,3.07E-06,5.60E-08
midres,subhalos,0.47,67909850300,3.37E-06,5.87E-08
midres,subhalos,0.47,76269858590,3.86E-06,6.28E-08
midres,subhalos,0.47,85659021537,4.39E-06,6.70E-08
midres,subhalos,0.47,96204032711,5.02E-06,7.16E-08
