simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
highres,subhalos,0.47,3.95038E+12,0.001463758,1.05E-05
highres,subhalos,0.47,4.43669E+12,0.001275824,9.82E-06
highres,subhalos,0.47,4.98286E+12,0.001136915,9.27E-06
highres,subhalos,0.47,5.59628E+12,0.000990668,8.66E-06
highres,subhalos,0.47,6.2852E+12,0.000886184,8.19E-06
highres,subhalos,0.47,7.05894E+12,0.000777766,7.67E-06
highres,subhalos,0.47,7.92793E+12,0.000662917,7.08E-06
highres,subhalos,0.47,8.90389E+12,0.000592933,6.70E-06
highres,subhalos,0.47,1E+13,0.000518485,6.26E-06
highres,subhalos,0.47,1.1231E+13,0.000454176,5.86E-06
highres,subhalos,0.47,1.26136E+13,0.000404393,5.53E-06
highres,subhalos,0.47,1.41664E+13,0.000342958,5.09E-06
highres,subhalos,0.47,1.59104E+13,0.000296277,4.73E-06
highres,subhalos,0.47,1.7869E+13,0.000262685,4.46E-06
highres,subhalos,0.47,2.00688E+13,0.000225461,4.13E-06
highres,subhalos,0.47,2.25393E+13,0.00020178,3.91E-06
highres,subhalos,0.47,2.5314E+13,0.000173938,3.63E-06
highres,subhalos,0.47,2.84303E+13,0.000150333,3.37E-06
highres,subhalos,0.47,3.19302E+13,0.000127484,3.11E-06
highres,subhalos,0.47,3.5861E+13,0.000108494,2.87E-06
highres,subhalos,0.47,4.02756E+13,9.14E-05,2.63E-06
highres,subhalos,0.47,4.52337E+13,7.74E-05,2.42E-06
highres,subhalos,0.47,5.08022E+13,6.61E-05,2.24E-06
highres,subhalos,0.47,5.70562E+13,5.58E-05,2.05E-06
highres,subhalos,0.47,6.408E+13,4.34E-05,1.81E-06
highres,subhalos,0.47,7.19686E+13,3.94E-05,1.73E-06
highres,subhalos,0.47,8.08282E+13,3.29E-05,1.58E-06
highres,subhalos,0.47,9.07785E+13,2.76E-05,1.45E-06
highres,subhalos,0.47,1.01954E+14,2.03E-05,1.24E-06
highres,subhalos,0.47,1.14505E+14,1.99E-05,1.23E-06
highres,subhalos,0.47,1.28601E+14,1.38E-05,1.02E-06
highres,subhalos,0.47,1.44432E+14,1.13E-05,9.24E-07
highres,subhalos,0.47,1.62212E+14,8.32E-06,7.94E-07
highres,subhalos,0.47,1.82181E+14,4.99E-06,6.15E-07
highres,subhalos,0.47,2.04609E+14,5.98E-06,6.72E-07
highres,subhalos,0.47,2.29797E+14,5.14E-06,6.24E-07
highres,subhalos,0.47,2.58086E+14,3.78E-06,5.35E-07
highres,subhalos,0.47,2.89858E+14,2.19E-06,4.07E-07
highres,subhalos,0.47,3.25541E+14,1.59E-06,3.47E-07
highres,subhalos,0.47,3.65616E+14,9.08E-07,2.62E-07
highres,subhalos,0.47,4.10625E+14,8.32E-07,2.51E-07
highres,subhalos,0.47,4.61175E+14,5.30E-07,2.00E-07
highres,subhalos,0.47,5.17947E+14,5.30E-07,2.00E-07
highres,subhalos,0.47,5.81709E+14,3.78E-07,1.69E-07
highres,subhalos,0.47,6.5332E+14,7.57E-08,7.57E-08
highres,subhalos,0.47,7.33747E+14,1.51E-07,1.07E-07
highres,subhalos,0.47,8.24074E+14,2.27E-07,1.31E-07
highres,subhalos,0.47,9.25522E+14,0,0
highres,subhalos,0.47,1.03946E+15,0,0
highres,subhalos,0.47,1.16742E+15,0,0
highres,subhalos,0.47,1.31113E+15,0,0
highres,subhalos,0.47,1.47254E+15,0,0
highres,subhalos,0.47,1.65382E+15,0,0
highres,subhalos,0.47,1.85741E+15,0,0
highres,subhalos,0.47,2.08606E+15,0,0
highres,subhalos,0.47,2.34287E+15,0,0
highres,subhalos,0.47,2.63129E+15,0,0
highres,subhalos,0.47,2.95521E+15,0,0
highres,subhalos,0.47,3.31901E+15,0,0
highres,subhalos,0.47,3.72759E+15,0,0
highres,subhalos,0.47,4.18648E+15,0,0
highres,subhalos,0.47,4.70185E+15,0,0
highres,subhalos,0.47,5.28067E+15,0,0
highres,subhalos,0.47,5.93074E+15,0,0
highres,subhalos,0.47,6.66085E+15,0,0
highres,subhalos,0.47,7.48083E+15,0,0
highres,subhalos,0.47,8.40175E+15,0,0
highres,subhalos,0.47,9.43604E+15,0,0
highres,subhalos,0.67,10597662487,0.001851734,1.18E-05
highres,subhalos,0.67,11902282448,0.002160948,1.28E-05
highres,subhalos,0.67,13367506999,0.009929302,2.74E-05
highres,subhalos,0.67,15013107289,0.026737897,4.50E-05
highres,subhalos,0.67,16861288383,0.024231721,4.28E-05
highres,subhalos,0.67,18936988890,0.039036283,5.43E-05
highres,subhalos,0.67,21268217473,0.045851419,5.89E-05
highres,subhalos,0.67,23886430790,0.120935714,9.57E-05
highres,subhalos,0.67,26826957953,0.168288645,0.000112838
highres,subhalos,0.67,30129477247,0.152870646,0.000107545
highres,subhalos,0.67,33838551534,0.135017136,0.00010107
highres,subhalos,0.67,38004229564,0.123446808,9.66E-05
highres,subhalos,0.67,42682721312,0.111679392,9.19E-05
highres,subhalos,0.67,47937156456,0.10177309,8.77E-05
highres,subhalos,0.67,53838436220,0.090733959,8.29E-05
highres,subhalos,0.67,60466190091,0.082548503,7.90E-05
highres,subhalos,0.67,67909850300,0.074774626,7.52E-05
highres,subhalos,0.67,76269858590,0.06922162,7.24E-05
highres,subhalos,0.67,85659021537,0.066329133,7.08E-05
highres,subhalos,0.67,96204032711,0.06505626,7.02E-05
highres,subhalos,0.67,1.08047E+11,0.063380734,6.92E-05
highres,subhalos,0.67,1.21348E+11,0.060116311,6.74E-05
highres,subhalos,0.67,1.36287E+11,0.055376403,6.47E-05
highres,subhalos,0.67,1.53064E+11,0.049574557,6.12E-05
highres,subhalos,0.67,1.71907E+11,0.043549141,5.74E-05
highres,subhalos,0.67,1.9307E+11,0.038052121,5.37E-05
highres,subhalos,0.67,2.16838E+11,0.033098782,5.00E-05
highres,subhalos,0.67,2.43531E+11,0.029114774,4.69E-05
highres,subhalos,0.67,2.73511E+11,0.025895973,4.43E-05
highres,subhalos,0.67,3.07181E+11,0.023542399,4.22E-05
highres,subhalos,0.67,3.44997E+11,0.021606458,4.04E-05
highres,subhalos,0.67,3.87468E+11,0.019293285,3.82E-05
highres,subhalos,0.67,4.35167E+11,0.01714989,3.60E-05
highres,subhalos,0.67,4.88737E+11,0.015127774,3.38E-05
highres,subhalos,0.67,5.48903E+11,0.013233823,3.16E-05
highres,subhalos,0.67,6.16476E+11,0.011561399,2.96E-05
highres,subhalos,0.67,6.92367E+11,0.010011012,2.75E-05
highres,subhalos,0.67,7.776E+11,0.008735189,2.57E-05
highres,subhalos,0.67,8.73326E+11,0.007557948,2.39E-05
highres,subhalos,0.67,9.80837E+11,0.006590961,2.23E-05
highres,subhalos,0.67,1.10158E+12,0.00572702,2.08E-05
highres,subhalos,0.67,1.23719E+12,0.004950768,1.94E-05
highres,subhalos,0.67,1.3895E+12,0.00434119,1.81E-05
highres,subhalos,0.67,1.56055E+12,0.003776704,1.69E-05
highres,subhalos,0.67,1.75266E+12,0.003317459,1.58E-05
highres,subhalos,0.67,1.96842E+12,0.00289052,1.48E-05
highres,subhalos,0.67,2.21074E+12,0.002500502,1.38E-05
highres,subhalos,0.67,2.48289E+12,0.002194616,1.29E-05
highres,subhalos,0.67,2.78855E+12,0.001945171,1.21E-05
highres,subhalos,0.67,3.13183E+12,0.001712825,1.14E-05
highres,subhalos,0.67,3.51737E+12,0.00150469,1.07E-05
highres,subhalos,0.67,3.95038E+12,0.001308886,9.95E-06
highres,subhalos,0.67,4.43669E+12,0.001141455,9.29E-06
highres,subhalos,0.67,4.98286E+12,0.001014046,8.76E-06
highres,subhalos,0.67,5.59628E+12,0.00088626,8.19E-06
highres,subhalos,0.67,6.2852E+12,0.000762559,7.60E-06
highres,subhalos,0.67,7.05894E+12,0.000667305,7.11E-06
highres,subhalos,0.67,7.92793E+12,0.00057992,6.62E-06
highres,subhalos,0.67,8.90389E+12,0.000513189,6.23E-06
highres,subhalos,0.67,1E+13,0.000443432,5.79E-06
highres,subhalos,0.67,1.1231E+13,0.000385705,5.40E-06
highres,subhalos,0.67,1.26136E+13,0.000336754,5.05E-06
highres,subhalos,0.67,1.41664E+13,0.000287274,4.66E-06
highres,subhalos,0.67,1.59104E+13,0.000248915,4.34E-06
highres,subhalos,0.67,1.7869E+13,0.000214718,4.03E-06
highres,subhalos,0.67,2.00688E+13,0.000182109,3.71E-06
highres,subhalos,0.67,2.25393E+13,0.000159185,3.47E-06
highres,subhalos,0.67,2.5314E+13,0.000133991,3.18E-06
highres,subhalos,0.67,2.84303E+13,0.000112882,2.92E-06
highres,subhalos,0.67,3.19302E+13,9.50E-05,2.68E-06
highres,subhalos,0.67,3.5861E+13,8.10E-05,2.47E-06
highres,subhalos,0.67,4.02756E+13,6.75E-05,2.26E-06
highres,subhalos,0.67,4.52337E+13,5.27E-05,2.00E-06
